E (keV)	chYiel
0.000000	-nan
239.500000	52.708030
239.750000	52.704175
240.000000	52.700325
240.250000	52.696478
240.500000	52.692636
240.750000	52.688798
241.000000	52.684964
241.250000	52.681134
241.500000	52.677308
241.750000	52.673487
242.000000	52.669670
242.250000	52.665858
242.500000	52.662049
242.750000	52.658245
243.000000	52.654445
243.250000	52.650650
243.500000	52.646859
243.750000	52.643072
244.000000	52.639289
244.250000	52.635511
244.500000	52.631737
244.750000	52.627968
245.000000	52.624203
245.250000	52.620442
245.500000	52.616686
245.750000	52.612934
246.000000	52.609186
246.250000	52.605443
246.500000	52.601704
246.750000	52.597970
247.000000	52.594240
247.250000	52.590514
247.500000	52.586793
247.750000	52.583077
248.000000	52.579365
248.250000	52.575657
248.500000	52.571954
248.750000	52.568255
249.000000	52.564561
249.250000	52.560871
249.500000	52.557186
249.750000	52.553505
250.000000	52.549829
250.250000	52.546157
250.500000	52.542490
250.750000	52.538827
251.000000	52.535169
251.250000	52.531515
251.500000	52.527866
251.750000	52.524221
252.000000	52.520581
252.250000	52.516946
252.500000	52.513315
252.750000	52.509688
253.000000	52.506067
253.250000	52.502449
253.500000	52.498837
253.750000	52.495228
254.000000	52.491625
254.250000	52.488026
254.500000	52.484431
254.750000	52.480842
255.000000	52.477256
255.250000	52.473676
255.500000	52.470100
255.750000	52.466528
256.000000	52.462961
256.250000	52.459399
256.500000	52.455841
256.750000	52.452288
257.000000	52.448740
257.250000	52.445196
257.500000	52.441657
257.750000	52.438122
258.000000	52.434592
258.250000	52.431067
258.500000	52.427546
258.750000	52.424030
259.000000	52.420519
259.250000	52.417012
259.500000	52.413510
259.750000	52.410012
260.000000	52.406519
260.250000	52.403031
260.500000	52.399547
260.750000	52.396068
261.000000	52.392594
261.250000	52.389124
261.500000	52.385659
261.750000	52.382198
262.000000	52.378742
262.250000	52.375291
262.500000	52.371844
262.750000	52.368402
263.000000	52.364965
263.250000	52.361532
263.500000	52.358104
263.750000	52.354681
264.000000	52.351262
264.250000	52.347848
264.500000	52.344439
264.750000	52.341034
265.000000	52.337634
265.250000	52.334238
265.500000	52.330847
265.750000	52.327461
266.000000	52.324080
266.250000	52.320703
266.500000	52.317330
266.750000	52.313963
267.000000	52.310599
267.250000	52.307241
267.500000	52.303887
267.750000	52.300538
268.000000	52.297194
268.250000	52.293854
268.500000	52.290519
268.750000	52.287188
269.000000	52.283862
269.250000	52.280541
269.500000	52.277224
269.750000	52.273912
270.000000	52.270604
270.250000	52.267301
270.500000	52.264003
270.750000	52.260710
271.000000	52.257421
271.250000	52.254136
271.500000	52.250856
271.750000	52.247581
272.000000	52.244311
272.250000	52.241045
272.500000	52.237783
272.750000	52.234527
273.000000	52.231275
273.250000	52.228027
273.500000	52.224784
273.750000	52.221546
274.000000	52.218312
274.250000	52.215083
274.500000	52.211858
274.750000	52.208638
275.000000	52.205423
275.250000	52.202212
275.500000	52.199006
275.750000	52.195804
276.000000	52.192607
276.250000	52.189415
276.500000	52.186227
276.750000	52.183043
277.000000	52.179864
277.250000	52.176690
277.500000	52.173520
277.750000	52.170355
278.000000	52.167195
278.250000	52.164039
278.500000	52.160887
278.750000	52.157740
279.000000	52.154598
279.250000	52.151460
279.500000	52.148326
279.750000	52.145198
280.000000	52.142073
280.250000	52.138953
280.500000	52.135838
280.750000	52.132727
281.000000	52.129621
281.250000	52.126519
281.500000	52.123422
281.750000	52.120329
282.000000	52.117241
282.250000	52.114157
282.500000	52.111078
282.750000	52.108003
283.000000	52.104933
283.250000	52.101867
283.500000	52.098806
283.750000	52.095749
284.000000	52.092697
284.250000	52.089649
284.500000	52.086605
284.750000	52.083566
285.000000	52.080532
285.250000	52.077501
285.500000	52.074476
285.750000	52.071455
286.000000	52.068438
286.250000	52.065425
286.500000	52.062417
286.750000	52.059414
287.000000	52.056415
287.250000	52.053420
287.500000	52.050430
287.750000	52.047444
288.000000	52.044462
288.250000	52.041485
288.500000	52.038512
288.750000	52.035544
289.000000	52.032580
289.250000	52.029621
289.500000	52.026666
289.750000	52.023715
290.000000	52.020768
290.250000	52.017826
290.500000	52.014888
290.750000	52.011955
291.000000	52.009026
291.250000	52.006101
291.500000	52.003181
291.750000	52.000265
292.000000	51.997353
292.250000	51.994446
292.500000	51.991543
292.750000	51.988644
293.000000	51.985750
293.250000	51.982860
293.500000	51.979974
293.750000	51.977092
294.000000	51.974215
294.250000	51.971342
294.500000	51.968474
294.750000	51.965609
295.000000	51.962749
295.250000	51.959893
295.500000	51.957042
295.750000	51.954195
296.000000	51.951351
296.250000	51.948513
296.500000	51.945678
296.750000	51.942848
297.000000	51.940022
297.250000	51.937200
297.500000	51.934382
297.750000	51.931569
298.000000	51.928759
298.250000	51.925954
298.500000	51.923154
298.750000	51.920357
299.000000	51.917565
299.250000	51.914776
299.500000	51.911992
299.750000	51.909212
300.000000	51.906437
300.250000	51.903665
300.500000	51.900898
300.750000	51.898135
301.000000	51.895376
301.250000	51.892621
301.500000	51.889870
301.750000	51.887123
302.000000	51.884381
302.250000	51.881642
302.500000	51.878908
302.750000	51.876178
303.000000	51.873452
303.250000	51.870730
303.500000	51.868012
303.750000	51.865298
304.000000	51.862589
304.250000	51.859883
304.500000	51.857181
304.750000	51.854484
305.000000	51.851791
305.250000	51.849101
305.500000	51.846416
305.750000	51.843735
306.000000	51.841058
306.250000	51.838385
306.500000	51.835715
306.750000	51.833050
307.000000	51.830389
307.250000	51.827732
307.500000	51.825079
307.750000	51.822430
308.000000	51.819785
308.250000	51.817144
308.500000	51.814507
308.750000	51.811874
309.000000	51.809245
309.250000	51.806620
309.500000	51.803999
309.750000	51.801382
310.000000	51.798768
310.250000	51.796159
310.500000	51.793554
310.750000	51.790953
311.000000	51.788355
